346,190038,buy
38,484947,sell
176,454136,buy
108,308516,buy
6,203823,bid
200,339102,bid
385,378320,sell
58,267772,buy
263,176496,bid
86,428974,sell
225,178028,buy
489,237803,bid
12,155848,sell
478,102816,sell
152,402714,buy
269,49426,bid
288,90778,bid
374,366756,sell
310,249062,bid
434,111153,bid
484,77433,sell
96,440613,bid
401,434282,buy
429,349419,bid
380,480761,sell
376,243177,sell
443,256537,sell
284,179263,sell
252,389827,bid
265,148357,bid
154,467413,bid
327,381865,sell
260,444614,sell
69,178067,buy
406,426402,sell
361,472867,sell
16,469476,bid
428,414140,buy
197,173549,sell
37,178225,bid
80,5987,sell
308,170789,sell
114,181503,buy
185,435840,bid
244,339804,sell
185,149936,sell
424,60370,buy
259,89052,bid
60,278785,bid
217,323595,sell
177,115603,bid
376,389432,bid
33,243805,buy
488,25629,bid
34,110603,bid
251,249425,bid
136,50665,bid
247,104718,sell
228,327755,bid
130,460645,sell
256,82565,sell
102,199058,buy
306,377944,bid
497,28139,sell
431,461560,buy
398,296162,buy
229,293189,sell
442,477781,sell
72,176414,buy
290,429847,buy
253,79950,sell
360,176637,bid
177,193207,sell
274,70837,buy
354,105167,bid
177,406644,sell
481,259111,bid
216,498441,sell
185,9615,sell
196,330825,buy
451,182807,bid
185,167486,buy
224,400478,buy
35,66233,sell
89,32754,buy
278,77981,buy
294,138060,bid
272,418985,bid
35,67465,bid
156,176978,buy
226,422202,bid
269,364759,sell
200,86386,sell
68,212903,buy
280,95661,sell
477,306929,sell
3,292844,buy
116,153364,buy
254,474279,buy
346,43642,bid
455,356746,buy
481,82589,bid
188,412638,bid
269,348938,buy
463,243645,buy
317,438966,buy
199,196226,sell
259,172968,buy
134,420462,sell
357,203958,bid
269,490313,buy
419,52223,sell
62,95103,sell
33,496929,bid
178,277839,buy
72,415079,bid
378,298579,sell
271,311711,sell
409,495385,bid
154,383580,buy
104,158102,bid
457,374203,buy
408,410316,buy
416,499436,buy
65,7645,sell
483,215191,sell
160,90252,bid
110,480304,bid
493,475176,buy
376,298238,sell
174,113800,bid
366,105747,bid
462,24163,sell
338,465972,buy
241,474078,sell
470,100219,buy
497,254847,sell
455,51541,sell
71,322587,sell
272,93788,buy
80,381755,buy
35,465091,bid
138,498523,sell
177,363506,buy
387,186664,buy
306,369979,bid
208,269656,sell
168,89456,bid
389,435064,sell
209,180582,bid
100,8350,sell
231,481132,bid
207,157979,bid
100,90700,sell
242,385539,buy
497,482543,sell
73,172272,bid
271,413202,bid
204,341293,bid
479,28455,buy
157,348715,bid
89,215921,buy
266,197792,sell
257,122224,sell
183,90159,sell
403,384567,sell
456,28061,sell
223,129130,sell
291,22851,bid
208,177620,buy
74,160232,bid
423,247039,buy
200,489123,buy
138,401597,bid
74,1826,buy
70,193011,buy
320,375680,bid
231,46810,sell
30,312773,sell
258,137666,buy
276,445534,sell
491,796,buy
221,45241,sell
284,294594,sell
277,289888,buy
442,132667,buy
159,447768,sell
363,433462,sell
97,80433,buy
243,491535,buy
397,427947,sell
226,341645,bid
251,210247,bid
91,294133,bid
115,245072,sell
490,165834,buy
269,267300,bid
380,376299,sell
493,273348,buy
484,302096,bid
350,341918,sell
484,140526,buy
377,66605,buy
182,257444,sell
135,20351,sell
177,261310,bid
32,492009,bid
70,256381,buy
26,88874,sell
173,192529,buy
177,106864,bid
342,125462,bid
242,100430,bid
